Category,Disease / Skin Type,Brand Name,Active Ingredient,Main Indication,Quantity,Stock Status
Gastroenterology,GERD / Acid Reflux,Nexium,Esomeprazole,"Reduces stomach acid, treats acid reflux and GERD",8,In stock
Gastroenterology,Peptic Ulcer Disease,Antodine,Famotidine,H2 receptor antagonist used to treat ulcers and heartburn,29,In stock
Gastroenterology,Irritable Bowel Syndrome (IBS),Colofac,Mebeverine,Antispasmodic to relieve abdominal pain and cramps in IBS,15,In stock
Gastroenterology,Nausea & Vomiting,Motilium,Domperidone,Antiemetic and prokinetic for nausea and gastric emptying,47,In stock
Gastroenterology,Acute Diarrhea,Streptoquin,Diiodohydroxyquinoline / Phthalylsulfathiazole,Anti-diarrheal and intestinal antiseptic,46,In stock
Gastroenterology,Chronic Constipation,Duphalac,Lactulose,Osmotic laxative for chronic constipation,35,In stock
Gastroenterology,Bloating & Flatulence,Disflatyl,Simethicone,"Alleviates gas, bloating, and abdominal discomfort",6,In stock
Gastroenterology,Ulcerative Colitis,Pentasa,Mesalazine,Anti-inflammatory for Ulcerative Colitis and Crohn's disease,29,In stock
Gastroenterology,Fatty Liver Disease,Legalon,Silymarin,Hepatoprotective agent supporting liver function,36,In stock
Gastroenterology,Abdominal Spasms,Buscopan,Hyoscine Butylbromide,Relieves painful spasms in the stomach and digestive tract,36,In stock
Gastroenterology,Gastroesophageal Reflux,Gaviscon Double Action,Sodium Alginate / Calcium Carbonate,Creates a protective raft over stomach contents to prevent reflux,37,In stock
Gastroenterology,Gastric Hyperacidity,Ganaton,Itopride Hydrochloride,Prokinetic agent to improve gastrointestinal motility,47,In stock
Gastroenterology,Gastroparesis,Kreon,Pancreatin,"Digestive enzyme supplement for fat, protein, and starch",1,Low stock
Gastroenterology,Exocrine Pancreatic Insufficiency,Peptic Care,Omeprazole / Amoxicillin / Clarithromycin,Combination pack for treating Helicobacter pylori infection,25,In stock
Gastroenterology,H. Pylori Infection,Antinal,Nifuroxazide,Broad-spectrum intestinal antiseptic for diarrhea,5,Low stock
Gastroenterology,Traveler's Diarrhea,Imodium,Loperamide Hydrochloride,Antidiarrheal agent that slows intestinal motility,35,In stock
Gastroenterology,Antibiotic-Associated Diarrhea,Sedalac,Lactulose Liquid,Reduces blood ammonia levels in chronic liver patients,0,Out of stock
Gastroenterology,Portal Hypertension,Duspatalin Retard,Mebeverine Hydrochloride,Sustained-release capsule for continuous bowel symptom relief,20,In stock
Gastroenterology,Biliary Colic,Zofran,Ondansetron,Serotonin 5-HT3 receptor antagonist for severe emesis,32,In stock
Gastroenterology,Hyperammonemia,Controloc,Pantoprazole,Proton pump inhibitor used for long term erosive esophagitis,50,In stock
Gastroenterology,Chronic Gastritis,Gastrozole,Omeprazole,Inhibits proton pump mechanism to keep stomach pH elevated,48,In stock
Gastroenterology,Erosive Esophagitis,Itopride,Itopride Hydrochloride,Prokinetic resolving postprandial fullness and early satiety,15,In stock
Gastroenterology,Functional Dyspepsia,DigestEze,Digestive Enzymes Complex,Multi-enzyme formulation assisting complex nutrient breakdown tasks,8,In stock
Gastroenterology,Spasmodic Colitis,Gastrobiotic,Rifaximin,Non-absorbable antibiotic acting purely within intestinal lumen,15,In stock
Gastroenterology,Motion Sickness,Lacteol Fort,Lactobacillus acidophilus,Probiotic culture restoring disrupted physiological microflora balance,17,In stock
Gastroenterology,NSAID-Induced Ulcers,Constulose,Lactulose,Liquid laxative modifying stool consistency via osmotic pressure,2,Low stock
Gastroenterology,Zollinger-Ellison Syndrome,Prasocil,Propranolol,Non-selective beta blocker lowering venous pressure in varices,5,Low stock
Gastroenterology,Duodenal Ulcer,Spasmomen,Otilonium Bromide,Quaternary ammonium compound acting on local intestinal smooth muscle,48,In stock
Gastroenterology,Intestinal Amebiasis,Vomidoxine,Meclizine HCl / Pyridoxine HCl,Safe combination antihistamine and vitamin B6 for morning sickness,38,In stock
Gastroenterology,Chronic Diarrhea,Emanera,Esomeprazole Magnesium,Suppresses baseline nocturnal acid outputs for mucosal healing,16,In stock
Gastroenterology,Gas & Indigestion,Pariet,Rabeprazole Sodium,Suppresses baseline acid production rapidly and continuously,41,In stock
Gastroenterology,Idiopathic Constipation,Mucofalk,Psyllium Husk,Natural fiber supplement to induce healthy intestinal peristalsis,33,In stock
Gastroenterology,Non-Ulcer Dyspepsia,Spasmo-Am darkness,Metoclopramide / Dimethicone,Combines anti-gas actions with powerful upper GI motility enhancement,49,In stock
Gastroenterology,Hepatic Encephalopathy,Uralyt-U,Potassium Citrate,Alkalinizes urine to prevent and dissolve uric acid stones,0,Out of stock
Gastroenterology,Cyclic Vomiting Syndrome,St決or,Metoclopramide,Directly stops vomiting signaling centers in the central nervous system,44,In stock
Gastroenterology,Acid Indigestion,Normix,Rifaximin Granules,Targets local bowel lumen pathogens without causing systemic toxicity,12,In stock
Gastroenterology,Gastrointestinal Hypermotility,Spasmo-Canulase,Cellulase / Amylase / Lipase,Relieves heavy gaseous pressure and dynamic abdominal distension,48,In stock
Gastroenterology,Post-operative Ileus,Librax,Chlordiazepoxide / Clidinium Bromide,Classic antianxiety and antispasmodic blend for psychosomatic colitis,19,In stock
Gastroenterology,Pancreatitis Symptoms,Deflat,Simethicone Drops,Fast relief for infant colic and structural air bubbles,4,Low stock
Gastroenterology,Aphthous Stomatitis,Gastro-Diet,Herbal Carminative Extract,Supports proper lipid metabolism across active liver cells,42,In stock
Cardiology,Essential Hypertension,Concor,Bisoprolol Fumarate,Beta-blocker to lower blood pressure and manage heart rate,26,In stock
